explicit,id,name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms_y,time_signature,release_date,artist,year,month,year_2
TRUE,7fa9MBXhVfQ8P8Df9OEbD8,Girls Like You (feat. Cardi B),76,0.851,0.541,C,-6.825,Major,0.0505,0.568,0,0.13,0.448,124.959,235545,4,6/15/2018,Maroon 5,2018,6,2018
FALSE,6DNtNfH8hXkqOX1sjqmI7p,Cold Water (feat. Justin Bieber & MØ),1,0.608,0.798,F#/Gb,-5.092,Minor,0.0432,0.0736,0,0.156,0.501,92.943,185352,4,7/22/2016,Major Lazer,2016,7,2016
FALSE,1ds2QsfhAAfRiaFMGDzrdb,What Do You Mean?,1,0.842,0.564,F,-8.042,Minor,0.105,0.617,0.00024,0.0912,0.782,124.984,207547,4,8/28/2015,Justin Bieber,2015,8,2015
FALSE,4aWmUDTfIPGksMNLV2rQP2,Despacito (Featuring Daddy Yankee),2,0.66,0.786,D,-4.757,Major,0.17,0.209,0,0.112,0.846,177.833,228200,4,1/13/2017,Luis Fonsi,2017,1,2017
FALSE,23ihGIrYOSzNNGJ6STAxI4,7 Years,62,0.741,0.473,Bb,-5.829,Major,0.0603,0.29,0,0.391,0.342,119.951,237300,4,6/26/2015,Lukas Graham,2015,6,2015
FALSE,6JV2JOEocMgcZxYSZelKcc,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",78,0.667,0.83,C,-5.715,Major,0.0749,0.0123,0,0.191,0.701,113.03,236002,4,5/6/2016,Justin Timberlake,2016,5,2016
FALSE,1WP1r7fuvRqZRnUaTi2I1Q,Stitches,1,0.746,0.754,C#/Db,-6.681,Major,0.067,0.0152,0,0.0486,0.764,149.882,206880,4,4/13/2015,Shawn Mendes,2015,4,2015
FALSE,4fTHdMTq0Znl3djLI1Typn,Cheerleader (Felix Jaehn Remix) - Radio Edit,51,0.827,0.576,E,-7.774,Major,0.0372,0.184,0.029,0.0656,0.41,118.04,180021,4,1/23/2015,OMI,2015,1,2015
FALSE,0azC730Exh71aQlOt9Zj3y,This Is What You Came For (feat. Rihanna),79,0.631,0.927,A,-2.787,Minor,0.0332,0.199,0.119,0.148,0.465,123.962,222160,4,4/29/2016,Calvin Harris,2016,4,2016
FALSE,0KKkJNfGyhkQ5aFogxQAPU,That's What I Like,84,0.853,0.56,C#/Db,-4.961,Major,0.0406,0.013,0,0.0944,0.86,134.066,206693,4,11/17/2016,Bruno Mars,2016,11,2016
FALSE,4tCtwWceOPWzenK2HAIJSb,Work from Home (feat. Ty Dolla $ign),78,0.803,0.585,Ab,-5.861,Major,0.0432,0.103,3.94E-06,0.0644,0.593,105.017,214480,4,5/27/2016,Fifth Harmony,2016,5,2016
FALSE,1MDoll6jK4rrk2BcFRP5i7,Hello,16,0.471,0.431,F,-6.129,Minor,0.0342,0.329,0,0.0854,0.289,157.98,295502,4,10/23/2015,Adele,2015,10,2015
FALSE,3X38ErFiKgzUxinBlhwuWm,Can't Feel My Face,0,0.713,0.766,A,-5.389,Minor,0.0455,0.14,0,0.0981,0.547,107.984,215613,4,6/9/2015,The Weeknd,2015,6,2015
FALSE,6i0V12jOa3mr6uu4WYhUBr,Heathens,82,0.732,0.396,E,-9.348,Minor,0.0286,0.0841,3.58E-05,0.105,0.548,90.024,195920,4,6/16/2016,Twenty One Pilots,2016,6,2016
FALSE,7wqSzGeodspE3V6RBD5W8L,See You Again (feat. Charlie Puth),0,0.689,0.481,Bb,-7.503,Major,0.0815,0.369,1.03E-06,0.0649,0.283,80.025,229526,4,3/10/2015,Wiz Khalifa,2015,3,2015
FALSE,6Ep6BzIOB9tz3P4sWqiiAB,Radioactive,0,0.473,0.777,A,-3.698,Major,0.059,0.119,7.87E-05,0.671,0.21,136.249,186813,4,9/4/2012,Imagine Dragons,2012,9,2012
TRUE,7wrDRQgHlvDnimrRHfQZxt,Psycho (feat. Ty Dolla $ign),1,0.748,0.546,Ab,-8.134,Major,0.106,0.59,0,0.112,0.413,140.005,220880,4,2/23/2018,Post Malone,2018,2,2018
FALSE,5knuzwU65gJK7IF5yJsuaW,Rockabye (feat. Sean Paul & Anne-Marie),77,0.72,0.763,A,-4.068,Minor,0.0523,0.406,0,0.18,0.742,101.965,251088,4,10/21/2016,Clean Bandit,2016,10,2016
FALSE,6g1NlCpW7fgqDnWbCCDrHl,Wake Me Up - Radio Edit,1,0.532,0.783,D,-5.697,Major,0.0523,0.0038,0.0012,0.161,0.643,124.08,247427,4,1/1/2013,Avicii,2013,1,2013
FALSE,4iLqG9SeJSnt0cSPICSjxv,Attention,4,0.774,0.626,Eb,-4.432,Minor,0.0432,0.0969,3.12E-05,0.0848,0.777,100.041,211475,4,4/20/2017,Charlie Puth,2017,4,2017
TRUE,72Q0FQQo32KJloivv5xge2,I'm the One,1,0.599,0.667,G,-4.267,Major,0.0367,0.0533,0,0.134,0.817,80.984,288877,4,4/27/2017,DJ Khaled,2017,4,2017
TRUE,14WWzenpaEgQZlqPq2nk4v,Work,1,0.725,0.534,B,-6.238,Major,0.0946,0.0752,0,0.0919,0.558,91.974,219320,4,1/28/2016,Rihanna,2016,1,2016
FALSE,3NdDpSvN911VPGivFlV5d0,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",1,0.735,0.451,C,-8.374,Major,0.0585,0.0631,1.30E-05,0.325,0.0862,117.973,245200,4,12/9/2016,ZAYN,2016,12,2016
FALSE,3eR23VReFzcdmS7TYCrhCe,It Ain't Me (with Selena Gomez),77,0.64,0.533,C,-6.596,Major,0.0706,0.119,0,0.0864,0.515,99.968,220781,4,2/16/2017,Kygo,2017,2,2017
